Motions with difficulty > 2.0 (Rank 0):
Total high difficulty motions: 841
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Tired_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_SophieKamenou_Sophie_Afraid_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_SophieKamenou_Sophie_Excited_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_TheodoraTsiakka_Theodora_Bored_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_TheodoraTsiakka_Theodora_Excited_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_TheodoraTsiakka_Theodora_Happy_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_TheodoraTsiakka_Theodora_Pleased_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_VasoAristeidou_Vasso_Happy_01_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20140121_FanieAlexandrou_Fanie_MusicalTheater_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20140121_FanieAlexandrou_Fanie_Zumba_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20140805_NikosMichael_Nikos_Zeibekiko_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20140805_NikosMichael_Nikos_Zeibekiko_v2_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20141230_MaritsaElia_Maritsa_Excited_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20141230_MaritsaElia_Maritsa_Happy_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20150927_VasoAristeidou_Vasso_Angry_v1_01_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20150927_VasoAristeidou_Vasso_Excited_v1_01_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20150927_VasoAristeidou_Vasso_Happy_v1_01_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20150927_VasoAristeidou_Vasso_Pleased_01_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_AndriaMichaelidou_Andria_Angry_v1_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_AndriaMichaelidou_Andria_Excited_v1_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_AndriaMichaelidou_Andria_Excited_v2_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_AndriaMichaelidou_Andria_Pleased_v1_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_AndriaMichaelidou_Andria_Relaxed_v1_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_ElenaKyriakou_Elena_Excited_v2_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_ElenaKyriakou_Elena_Happy_v2_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_ElenaKyriakou_Elena_Neutral_v2_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20180501_AndreasdelaVara_ANDREAS_Zaloggo_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20180501_AndreasdelaVara_ANDREAS_Zeibekiko_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_aita_pose-16-handstand-aita_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_aita_pose-18-applause-aita_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_aita_throw_toss-03-under-aita_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_hamada_turn-04-cartwheels-hamada_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_ichige_jump-13-matrix-ichige_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_kaiwa_gesture_etc-42-hung_over-kaiwa_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_kaiwa_jump-03-vertical-kaiwa_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_kaiwa_turn-01-call-kaiwa_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_greeting-02-bye-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_greeting-03-election-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_jump-01-normal-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_jump-13-matrix-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_turn-04-cartwheels-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_walk-19-shuffle_backward-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_yamaoka_tennis-04-forehand_slice-yamaoka_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_yamaoka_tennis-17-receive-yamaoka_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_yokoyama_karate-07-kakato_otoshi-yokoyama_stageii.pkl, Difficulty: 10.00
Motion: HDM05_bk_HDM_bk_03-04_01_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_dg_HDM_dg_04-01_02_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_mm_HDM_mm_03-05_01_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_mm_HDM_mm_03-05_02_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_mm_HDM_mm_05-03_01_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_tr_HDM_tr_03-02_03_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_tr_HDM_tr_03-04_02_120_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject1_2_Aude_INF_PhysicalExamination_S1S2_02b_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject1_2_Aude_RGB_WatchingFootball_S1S2_02_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject1_Karim_INF_PunchingKicking_S1_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject2_Aude_INF_Basketball_S2_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject2_Aude_RGB_WatchingScaryMovie_S2_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject3_4_Carine_INF_PlayingCards_S3S4_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject3_4_Carine_INF_WatchingFootball_S3S4_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject3_4_Carine_RGB_Dancing_S3S4_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject3_4_Medhi_INF_PlayingCards_S3S4_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject3_4_Medhi_RGB_PhysicalExamination_S3S4_02_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject3_Medhi_RGB_Bending_S3_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject3_Medhi_RGB_InflightSafety_S3_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject3_Medhi_RGB_PunchingKicking_S3_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject3_Medhi_RGB_TalkingWalking_S3_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject4_Carine_INF_PickingDroppingObj_S4_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject4_Carine_INF_WatchingScaryMovie_S4_01_stageii.pkl, Difficulty: 10.00
Motion: KIT_10_LeftTurn07_stageii.pkl, Difficulty: 10.00
Motion: KIT_10_WalkingStraightBackwards08_stageii.pkl, Difficulty: 10.00
Motion: KIT_1229_open_pants_left_arm_01_stageii.pkl, Difficulty: 10.00
Motion: KIT_1229_open_pants_left_arm_02_stageii.pkl, Difficulty: 10.00
Motion: KIT_1229_open_pants_left_arm_03_stageii.pkl, Difficulty: 10.00
Motion: KIT_1229_open_pants_left_arm_04_stageii.pkl, Difficulty: 10.00
Motion: KIT_1229_open_pants_left_arm_05_stageii.pkl, Difficulty: 10.00
Motion: KIT_1229_open_pants_right_arm_01_stageii.pkl, Difficulty: 10.00
Motion: KIT_1229_open_pants_right_arm_02_stageii.pkl, Difficulty: 10.00
Motion: KIT_1229_open_pants_right_arm_03_stageii.pkl, Difficulty: 10.00
Motion: KIT_1229_open_pants_right_arm_04_stageii.pkl, Difficulty: 10.00
