Motions with difficulty > 2.0 (Rank 0):
Total high difficulty motions: 1541
Motion: DanceDB_20150927_VasoAristeidou_Vasso_Pleased_01_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_AndriaMichaelidou_Andria_Annoyed_v2_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_AndriaMichaelidou_Andria_Excited_v1_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_ElenaKyriakou_Elena_Angry_v2_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_ElenaKyriakou_Elena_Excited_v2_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_ElenaKyriakou_Elena_Happy_v2_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20151003_ElenaKyriakou_Elena_Neutral_v2_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20180501_AndreasdelaVara_ANDREAS_Tatsia_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20180501_AndreasdelaVara_ANDREAS_Zaloggo_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20180501_AndreasdelaVara_ANDREAS_Zeibekiko_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_aita_pose-16-handstand-aita_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_aita_throw_toss-03-under-aita_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_hamada_turn-04-cartwheels-hamada_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_ichige_jump-13-matrix-ichige_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_kaiwa_gesture_etc-37-gay-kaiwa_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_kaiwa_jump-03-vertical-kaiwa_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_kaiwa_turn-01-call-kaiwa_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_greeting-02-bye-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_greeting-03-election-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_greeting-07-bow-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_greeting-08-shakehands-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_jump-01-normal-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_jump-13-matrix-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_turn-04-cartwheels-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_takiguchi_walk-19-shuffle_backward-takiguchi_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_yamaoka_tennis-04-forehand_slice-yamaoka_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_yamaoka_tennis-08-backhand_double-yamaoka_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_yamaoka_tennis-14-backhand_volley-yamaoka_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_yamaoka_tennis-17-receive-yamaoka_stageii.pkl, Difficulty: 10.00
Motion: Eyes_Japan_Dataset_yokoyama_karate-07-kakato_otoshi-yokoyama_stageii.pkl, Difficulty: 10.00
Motion: HDM05_bk_HDM_bk_03-04_01_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_dg_HDM_dg_04-01_02_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_dg_HDM_dg_05-03_01_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_dg_HDM_dg_05-03_02_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_mm_HDM_mm_01-02_02_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_mm_HDM_mm_03-05_01_120_stageii.pkl, Difficulty: 10.00
